Stressed word,Transcription,Comment
мо́ре,м°о̃́ре,
на́ш,на̃́ш,
снігопа́д,с´н´і̃г°опа́д,
кре́м,кре̃́м,
чаву́н,чав°у̃́н,
кі́нь,к'і̃́н´,
сона́та,с°о̃на̃́та,
мунди́р,м°у̃нди́р,
ря́ска,р´·а́ска,
краве́ць,краве́·ц´,
ліле́я,л´іле́·j·а,
лю́лька,л´°·у́·л´ка,
дя́дько,д´·а́·д´к°о,
бі́гти,б'і́гти,
спі́ви,с´п'і́ви,
гі́лка,г'і́лка,
пе́рвісток,пе́рв'іст°ок,
мі́сто,м'і̃́ст°о,
фі́льм,ф'і́л´м,
жі́нка,ж'і̃́нка,
розпаші́лий,р°озпа·ш'і́лиĭ,
ґе́рґіт,ґе́рґ'іт,
доста́ток,д°оста́т°ок,
гуцу́л,г°уц°у́л,
капу́ста,кап°у́ста,
ху́тро,х°у́тр°о,
подорожува́ти,п°од°ор°ож°ува́ти,
зоря́,з°о·р´·а́,
розсе́рдитися,р°озсе́рди(е)ти(е)с´·а,
безпе́ка,бе(и)зпе́ка,
відто́ді,в'ідт°о́·д´і,
підписа́ти,п'ідпи(е)са́ти,
обста́вини,обста́ви̃(е)ни̃,
міжплане́тний,м'і̃жпла̃не̃́тни̃ĭ,
боротьба́,б°ор°о·д´ба́,
Ви́шгород,ви́жг°ор°од,
про́сьба,пр°о́·з´ба,
анекдо́т,а̃не̃(и)ґд°о́т,
плацда́рм,плад͡зда́рм,
ле́гко,ле́хк°о,
ле́гкоатле́т,ле́хк°оатле́т,
во́гко,в°о́хк°о,
во́гкість,в°о́хк'іс´т´,
кі́гті,к'і́хт´і,
кі́гтики,к'і́хти(е)ки,
ні́гті,н´і̃́хт´і,
ні́гтиком,н´і̃́хти(е)к°о̃м,
дьо́гтю,д´°·о́хт´°·у,
дігтя́р,д´іхт´·а́р,
зцементува́ти,сце̃(и)ме̃(и)нт°ува́ти,
зси́пати,с:и́пати,
ка́зка,ка́зка,
сте́жка,сте́жка,
бли́жчий,бли́жчиĭ,
везти́,ве(и)зти́,
збері́гся,збе(и)·р´і́гс´·а,
са́д,са́д,
рі́ж,р´і́ж,
карту́з,карт°у́з,
гри́б,гри́б,
ґа́ндж,ґа̃́нд͡ж,
ґе́дзь,ґе́·д͡з´,
Середзе́мний,се(и)ре(и)д͡ззе̃́мни̃ĭ,
відзна́ка,в'ід͡ззна̃́ка,
забу́дься,заб°у́·д͡з´с´·а,
ві́дстань,в'і́д͡зста̃·н´,
оселе́дцем,осе(и)ле́д͡зце̃м,
відцура́тися,в'ід͡зц°ура́ти(е)с´·а,
солда́тський,с°олда́·ц´киĭ,
стара́ються,стара́·j°·у·ц´:·а,
копи́тце,к°опи́ц:е,
спортза́л,сп°орд͡зза́л,
піджа́ти,п'ід͡жжа́ти,
моло́дший,м°о̃л°о́д͡жшиĭ,
підши́вка,п'ід͡жши́ўка,
засві́дчити,за·с´в'і́д͡жчи(е)ти,
відчи́нено,в'ід͡жчи̃́не̃(и)н°о̃,
коро́тший,к°ор°о́чшиĭ,
льо́тчик,л´°·о́ч:и(е)к,
міжзо́ряний,м'і̃з°:о́·р´·а̃ни̃ĭ,
міжсезо́ння,м'і̃зсе(и)з°о̃́·н´:·а̃,
наї́жся,на̃·jі́з´с´·а,
сирої́жці,си(е)р°о·jі́з´ц´і,
кі́шці,к'і́с´ц´і,
дочці́,д°о·ц´:і́,
пого́дишся,п°ог°о́ди(е)с´:·а,
сього́дні,с´°·ог°о́·д´н´і̃,
петля́,пе(и)·т´л´·а́,
пе́нсія,пе̃́·н´с´іj·а,
та́нці,та̃́·н´ц´і,
кінці́вка,к'і̃н´ц´і́ўка,
гі́лці,г'і́л´ц´і,
ку́зня,к°у́·з´н´·а̃,
ла́зня,ла́·з´н´·а̃,
сні́г,с´н´і̃́г,
ві́сть,в'і́с´т´,
ра́дість,ра́·д´іс´т´,
молодці́,м°о̃л°о·д͡з´ц´і́,
міцні́,м'і̃ц´н´і̃́,
відділи́ти,в'ід´:іли́ти,
відтягти́,в'ід´т´·агти́,
підня́ти,п'ід´н´·а̃́ти,
роззя́ва,р°о·з´:·а́ва,
розсі́стися,р°о·з´с´і́сти(е)с´·а,
звідтіля́,зв'ід´т´іл´·а́,
відті́нок,в'ід´т´і̃́н°о̃к,
Дніпро́,д´н´і̃пр°о́,
підніма́ти,п'ід´н´і̃ма̃́ти,
віддя́чити,в'ід´:·а́чи(е)ти,
со́тня,с°о́·т´н´·а̃,
партдія́ч,пард´:іj·а́ч,
ке́ндюх,ке̃́·н´д´°·ух,
І́ндія,і̃́н´д´іj·а,
бунтівни́к,б°у̃·н´т´іўни̃́к,
гвинті́вка,гви̃(е)н´т´і́ўка,
віко́нні,в'ік°о̃́·н´:і̃,
пі́зній,п'і́з´н´і̃ĭ,
весня́нка,ве(и)·с´н´·а̃́нка,
капу́стяний,кап°у́·с´т´·а̃ни̃ĭ,
відціди́ти,в'ід͡з´ц´іди́ти,
мі́цність,м'і̃́ц´н´і̃с´т´,
сві́й,св'і́ĭ,
дзві́н,д͡зв'і̃́н,
зві́р,зв'і́р,
подря́пати,п°одр´·а́пати,
мандрі́вка,ма̃ндр´і́ўка,
потрі́йний,п°отр´і́ĭни̃ĭ,
Ге́нріх,ге̃́нр´іх,
двірни́к,дв'ірни̃́к,
кандмі́німум,ка̃ндм'і̃́н´і̃м°у̃м,
тві́р,тв'і́р,
тхі́р,тх'і́р,
палкі́,палк'і́,
голкі́пер,г°олк'і́пе(и)р,
алхі́мік,алх'і̃́м'і̃к,
ганчі́рка,га̃нч'і́рка,
то́нші,т°о̃́нш'і,
конкістадо́р,к°о̃нк'істад°о́р,
конфіденці́йно,к°о̃нф'іде̃(и)·н´ц´і́ĭн°о̃,
замрі́яний,за̃мр´і́j·а̃ни̃ĭ,
колі́брі,к°о·л´і́бр´і,
кра́пля,кра́пл´·а,
ка́пці,ка́пц´і,
те́рпкість,те́рпк'іс´т´,
авті́вка,аўт´і́ўка,
пі́вніч,п'і́ўн´і̃ч,
ту́флі,т°у́фл´і,
ка́шляти,ка́шл´·ати,
ви́шня,ви́шн´·а̃,
ти́жні,ти́жн´і̃,
міжгі́р'я,м'і̃жг'і́рj·а,
по́ручні,п°о́р°учн´і̃,
смачні́,сма̃чн´і̃́,
рвучкі́,рв°учк'і́,
надчітки́й,на̃д͡жч'ітки́ĭ,
хлі́б,хл´і́б,
хві́ртка,хв'і́ртка,
крі́плення,кр´і́пле̃(и)·н´:·а̃,
кліти́на,кл´іти̃́на̃,
кві́тка,кв'і́тка,
ґні́т,ґн´і̃́т,
огля́дини,огл´·а́ди̃(е)ни̃,
глі́д,гл´і́д,
корті́ти,к°орт´і́ти,
по́рція,п°о́рц´іj·а,
барві́нок,барв'і̃́н°о̃к,
корчі́,к°орч'і́,
харчі́,харч'і́,
гу́ркіт,г°у́рк'іт,
маркі́за,ма̃рк'і́за,
мі́дний,м'і̃́дни̃ĭ,
розповідни́й,р°озп°о·в'ідни̃́ĭ,
двоо́сний,дв°оо́сни̃ĭ,
злі́сний,з´л´і́сни̃ĭ,
кі́нний,к'і̃́н:и̃ĭ,
де́нний,де̃́н:и̃ĭ,
во́ля,в°о́·л´·а,
ві́льний,в'і́л´ни̃ĭ,
покрі́вля,п°окр´і́ўл´·а,
покріве́льний,п°окр´іве́·л´ни̃ĭ,
парале́ль,парале́·л´,
парале́льний,парале́·л´ни̃ĭ,
сти́ль,сти́л´,
сти́льний,сти́л´ни̃ĭ,
контра́стний,к°о̃нтра́сни̃ĭ,
студе́нтський,ст°уде̃́·н´с´киĭ,
аге́нтство,аге̃́нств°о,
тури́стський,т°ури́с´киĭ,
неві́стчин,не̃(и)·в'і́шчи̃(е)н,
зві́стці,зв'і́с´ц´і,
шістна́дцять,ш'існа̃́·д͡з´ц´·а·т´,
шістдеся́т,ш'ізде(и)·с´·а́т,
шістсо́т,ш'іс°:о́т,
суддя́,с°у·д´:·а́,
зжи́тися,ж:и́ти(е)с´·а,
розжа́рити,р°ож:а́ри(е)ти,
зши́тий,ш:и́тиĭ,
стара́ється,стара́·j·е(і)·ц´:·а,
відда́ти,в'ід:а́ти,
беззапере́чно,бе(и)з:апе(и)ре́чн°о̃,
контрро́звідка,к°о̃нтр°:о́зв'ідка,
осі́нній,о·с´і̃́н´:і̃ĭ,
замі́нник,за̃·м'і̃́н:и̃(е)к,
фіззаря́дка,ф'із:а·р´·а́дка,
політтехно́лог,п°о·л´іт:е(и)хн°о̃́л°ог,
пре́с-секрета́р,пре́с:е(и)кре(и)та́р,
юнна́т,j°·у̃н:а̃́т,
Укрреставра́ція,укр:е(и)стаўра́·ц´іj·а,
бру́тто,бр°у́т°:о,
бу́лла,б°у́л:а,
ва́нна,ва̃́н:а̃,
елліні́ст,е·л´:і̃н´і̃́ст,
іммігра́ція,і̃м':і̃гра́·ц´іj·а,
Ка́нни,ка̃́н:и̃,
контрреволю́ція,к°о̃нтр:е(и)в°о(у)·л´°·у́·ц´іj·а,
мадо́нна,ма̃д°о̃́н:а̃,
ма́нна,ма̃́н:а̃,
не́тто,не̃́т°:о,
панно́,па̃н°:о̃́,
військкома́т,в'іĭс´к°о̃ма̃́т,
то́нн,т°о̃́н,
бі́лль,б'і́л´,
неси́,не̃(и)си́,
мені́,ме̃(и)·н´і̃́,
беру́,бе(и)р°у́,
дире́ктор,ди(е)ре́кт°ор,
сиро́ватка,си(е)р°о́ватка,
пита́ю,пи(е)та́·j°·у,
кожу́х,к°о(у)ж°у́х,
зозу́ля,з°о(у)з°у́·л´·а,
но́шу,н°о̃́ш°у,
сопі́лка,с°о·п'і́лка,с°о(у)·п'і́лка
тобі́,т°о·б'і́,т°о(у)·б'і́
зерни́на,зе(и)рни̃́на̃,
село́,се(и)л°о́,
покла́дено,п°окла́де̃(и)н°о̃,
зеле́ний,зе(и)ле̃́ни̃ĭ,
окра́єць,окра́·j·е(і)·ц´,
бельгі́єць,бе(и)·л´г'і́j·е(і)·ц´,
кише́ня,ки(е)ше̃́·н´·а̃,
схова́тися,сх°ова́ти(е)с´·а,
кирпа́тий,ки(е)рпа́тиĭ,
кисі́ль,ки(е)с´і́л´,
висо́кий,ви(е)с°о́киĭ,
мисли́вець,ми̃(е)сли́ве(и)·ц´,
розу́мний,р°о(у)з°у̃́мни̃ĭ,
косу́ля,к°о(у)с°у́·л´·а,
полу́днувати,п°о(у)л°у́дн°у̃вати,
зозу́лька,з°о(у)з°у́·л´ка,
прошу́,пр°о(у)ш°у́,
носі́ть,н°о̃·с´і́т´,н°о̃(у)·с´і́т´
дорі́жка,д°о·р´і́жка,д°о(у)·р´і́жка
аудито́рія,аўди(е)т°о́·р´іj·а,
ві́рність,в'і́рн´і̃с´т´,
кова́ль,к°ова́·л´,
захо́вує,зах°о́в°у·j·е,
здорова́нь,зд°ор°ова̃́·н´,
я́блуко,j·а́бл°ук°о,
своя́,св°о·j·а́,
ю́шка,j°·у́шка,
ши́єю,ши́j·е·j°·у,
йо́рж,j°·о́рж,
йото́вана,j°·от°о́ва̃на̃,
зна́ю,зна̃́·j°·у,
кия́ни,ки(е)j·а̃́ни̃,
ї́сти,jі́сти,
вла́да,ўла́да,
вде́ртися,ўде́рти(е)с´·а,
йти́,ĭти́,
ймові́рно,ĭм°о̃·в'і́рн°о̃,
ковбаса́,к°оўбаса́,
навмання́,на̃ўма̃·н´:·а̃́,
зізна́вся,з´ізна̃́ўс´·а,
найменува́ння,на̃ĭме̃(и)н°у̃ва̃́·н´:·а̃,
койне́,к°оĭне̃́,
знайти́,зна̃ĭти́,
мо́йва,м°о̃́ĭва,
браті́в,бра·т´і́ў,
ле́в,ле́ў,
бува́в,б°ува́ў,
кра́й,кра́ĭ,
спро́буй,спр°о́б°уĭ,
прибі́й,при(е)б'і́ĭ,
геро́й,ге(и)р°о́ĭ,
вве́дення,ўве́де̃(и)·н´:·а̃,в:е́де̃(и)·н´:·а̃
піввідра́,п'іўв'ідра́,п'ів':ідра́
завві́дділу,заўв'і́д´:іл°у,зав':і́д´:іл°у
вде́нь,ўде̃́·н´,
вда́лий,ўда́лиĭ,
товари́ств,т°овари́ств,
ве́рств,ве́рств,
хвастну́ти,хвастн°у̃́ти,
зап'я́стний,запj·а́стни̃ĭ,
бездія́льний,бе(и)зд´іj·а́·л´ни̃ĭ,
відлю́дний,в'ідл´°·у́дни̃ĭ,
злі́т,зл´і́т,
узлі́сся,узл´і́с´:·а,
змія́,з´м'і̃j·а́,
смі́х,с´м'і̃́х,
світа́нок,с´в'іта̃́н°о̃к,
дзвя́кати,д͡з´в'·а́кати,
цвя́х,ц´в'·а́х,
цвірі́нькати,ц´в'ір´і̃́н´кати,
о́сьде,о́·з´де,
такдавно́,таґдаўн°о̃́,
хо́чби,х°о́д͡жби,
нашдру́г,на̃ждр°у́г,
зхра́му,схра̃́м°у̃,
зкімна́ти,ск'і̃мна̃́ти,
зфі́рмою,сф'і́рм°о̃·j°·у,
зцу́кром,сц°у́кр°о̃м,
безте́бе,бе(и)зте́бе,
че́резха́щі,че́ре(и)зха́шч'і,
підка́менем,п'ідка̃́ме̃(и)не̃м,
надпо́лем,на̃дп°о́ле̃м,
міжтова́ришами,м'і̃жт°ова́ри(е)ша̃ми̃,
піддзво́ном,п'ід͡з:в°о̃́н°о̃м,
спрутзасну́в,спр°уд͡ззасн°у̃́ў,
світдзерка́л,с´в'ід͡з:е(и)рка́л,
надджерело́м,на̃д͡ж:е(и)ре(и)л°о̃́м,
світживи́х,с´в'ід͡жжи(е)ви́х,
літджмеля́,л´ід͡ж:ме̃(и)·л´·а́,
неморо́чся,не̃(и)м°о̃р°о́·ц´с´·а,
міждзвіни́цями,м'і̃зд͡зв'і̃ни̃́ц´·а̃ми̃,
і́міджза́кладу,і̃́м'і̃д͡зза́клад°у,
ґандждзе́ркала,ґа̃нд͡з:е́ркала,
міжци́м,м'і̃зци̃́м,
підді́м,п'ід´:і̃́м,
братді́вчинки,бра·д´:і́ўчи̃(е)нки,
світтісни́й,с´в'іт´:існи̃́ĭ,
вінніми́й,в'і̃н´:і̃ми̃́ĭ,
зшо́вку,ш°:о́ўк°у,
цвітде́рева,ц´в'ід:е́ре(и)ва,
си́пбі́льше,си́б':і́л´ше,
кри́кґа́ви,кри́ґ:а́ви,
плюсза́лишок,пл´°·уз:а́ли(е)ш°ок,
беззе́лені,бе(и)з:е́ле̃(и)·н´і̃,
бе́зліччерепа́х,бе́зл´іч:е(и)ре(и)па́х,
смакка́ви,сма̃к:а́ви,
бездже́му,бе(и)жд͡же̃́м°у̃,
зши́нкою,ш:и̃́нк°о·j°·у,
ґе́дзьживи́й,ґе́д͡жжи(е)ви́ĭ,
пала́цчаклуна́,пала́ч:акл°у̃на̃́,
зче́хом,шче́х°о̃м,
розжува́ти,р°ож°:ува́ти,
зши́ти,ш:и́ти,
ви́нісши,ви̃́н´і̃ш:и,
ви́візши,ви́в'іжши,
безшо́вний,бе(и)жш°о́ўни̃ĭ,
ни́жчий,ни̃́жчиĭ,
незчу́тися,не̃(и)жч°у́ти(е)с´·а,
зчи́стити,шчи́сти(е)ти,
ви́щий,ви́шчиĭ,
